x,y1,y2,y3,y4
10,8.48556,23.0661,23.0661,170.437
10,6.54768,17.7984,17.7984,131.514
10,5.91496,16.0785,16.0785,118.805
10,6.95869,18.9157,18.9157,139.769
12.5,7.08552,20.3431,18.0935,149.146
12.5,5.36906,15.415,13.7104,113.016
12.5,8.56141,24.5805,21.8623,180.213
15,4.36179,13.0219,10.4634,93.259
15,7.61494,22.734,18.2673,162.815
15,5.35957,16.0007,12.8569,114.593
15,7.24102,21.6177,17.3703,154.82
17.5,6.68823,20.4409,15.0722,140.784
17.5,5.49109,16.7821,12.3744,115.585
17.5,5.02025,15.3431,11.3133,105.674
20,5.88721,18.1339,12.4632,118.248
20,4.79804,14.779,10.1574,96.371
20,6.21761,19.1516,13.1627,124.884
20,5.01048,15.4334,10.6072,100.638
22.5,6.11632,18.693,12.1638,113.617
22.5,3.85872,11.7932,7.674,71.68
22.5,4.0483,12.3726,8.051,75.202
25,3.78081,11.2874,7.0635,62.956
25,4.75,14.1809,8.8742,79.095
25,3.8053,11.3605,7.1092,63.364
25,4.60228,13.7399,8.5982,76.635
27.5,5.50101,15.7938,9.6546,79.583
27.5,3.40757,9.7834,5.9805,49.298
27.5,4.25487,12.2161,7.4675,61.556
30,4.43,12.042,7.3038,53.968
30,3.84008,10.4384,6.3312,46.782
30,5.35004,14.5429,8.8207,65.177
30,4.13762,11.2472,6.8218,50.407
32.5,4.47874,11.3479,6.9368,44.532
32.5,6.68709,16.9432,10.3572,66.49
32.5,4.2686,10.8154,6.6113,42.443
35,2.4077,5.5981,3.5032,18.938
35,4.20408,9.7748,6.1169,33.068
35,5.46921,12.7163,7.9577,43.019
35,5.16679,12.0131,7.5176,40.64
37.5,3.28498,6.9002,4.49,19.811
37.5,5.88766,12.3672,8.0475,35.507
37.5,3.63573,7.6369,4.9695,21.926
40,4.30961,8.0514,5.5336,19.314
40,3.40571,6.3627,4.373,15.263
40,2.96341,5.5364,3.8051,13.281
40,4.12679,7.7099,5.2989,18.495
42.5,3.57329,5.8455,4.3102,11.535
42.5,3.711,6.0708,4.4763,11.979
42.5,2.94387,4.8159,3.551,9.503
45,2.96109,4.1758,3.3554,6.673
45,2.05695,2.9008,2.3308,4.635
45,3.70538,5.2254,4.1987,8.35
45,4.25211,5.9964,4.8183,9.582
47.5,3.45254,4.1321,3.6752,5.264
47.5,3.56113,4.2621,3.7908,5.43
47.5,2.82369,3.3795,3.0058,4.306
50,3.11827,3.1183,3.1183,3.118
50,2.21736,2.2174,2.2174,2.217
50,2.21867,2.2187,2.2187,2.219
50,2.27904,2.279,2.279,2.279
